"81","Race for the Galaxy","レース・フォー・ザ・ギャラクシー","2007","7.628","2.99","2","Thomas Lehmann","https://boardgamegeek.com/boardgame/28143/race-for-the-galaxy"
"82","Five Tribes: The Djinns of Naqala","ファイブ・トライブズ","2014","7.62","2.84","2","Bruno Cathala","https://boardgamegeek.com/boardgame/157354/five-tribes-the-djinns-of-naqala"
"83","Clank!: A Deck-Building Adventure","クランク!","2016","7.612","2.23","3","Paul Dennen","https://boardgamegeek.com/boardgame/201808/clank-a-deck-building-adventure"
"84","Eclipse: New Dawn for the Galaxy","","2011","7.61","3.7","4,6","Touko Tahkokallio","https://boardgamegeek.com/boardgame/72125/eclipse-new-dawn-for-the-galaxy"
"85","Aeon's End","イーオンズ・エンド","2016","7.602","2.81","2","Jenny Iglesias,Nick Little (I),Kevin Riley","https://boardgamegeek.com/boardgame/191189/aeons-end"
"86","Fields of Arle","アルルの丘","2014","7.602","3.84","2","Uwe Rosenberg","https://boardgamegeek.com/boardgame/159675/fields-of-arle"
"87","Clank!: Catacombs","","2022","7.599","2.51","3","Paul Dennen","https://boardgamegeek.com/boardgame/365717/clank-catacombs"
"88","Lords of Waterdeep","","2012","7.59","2.45","3,4","Peter Lee,Rodney Thompson","https://boardgamegeek.com/boardgame/110327/lords-of-waterdeep"
"89","Teotihuacan: City of Gods","テオティワカン：シティオブゴッズ","2018","7.59","3.77","4","Daniele Tascini","https://boardgamegeek.com/boardgame/229853/teotihuacan-city-of-gods"
"90","Beyond the Sun","ビヨンド・ザ・サン","2020","7.587","3.13","3","Dennis K. Chan","https://boardgamegeek.com/boardgame/317985/beyond-the-sun"
"91","El Grande","エルグランデ","1995","7.582","2.97","5","Wolfgang Kramer,Richard Ulrich","https://boardgamegeek.com/boardgame/93/el-grande"
"92","Through the Ages: A Story of Civilization","","2006","7.581","4.18","3","Vlaada Chvátil","https://boardgamegeek.com/boardgame/25613/through-the-ages-a-story-of-civilization"
"93","Dominant Species","","2010","7.573","4.04","4","Chad Jensen","https://boardgamegeek.com/boardgame/62219/dominant-species"
"94","Revive","リバイブ","2022","7.567","3.42","3","Helge Meissner,Kristian Amundsen Østby,Eilif Svensson,Anna Wermlund","https://boardgamegeek.com/boardgame/332772/revive"
"95","7 Wonders","世界の七不思議","2010","7.567","2.32","4,5","Antoine Bauza","https://boardgamegeek.com/boardgame/68448/7-wonders"
"96","Robinson Crusoe: Adventures on the Cursed Island","ロビンソン・クルーソー","2012","7.566","3.82","1,2","Joanna Kijanka,Ignacy Trzewiczek","https://boardgamegeek.com/boardgame/121921/robinson-crusoe-adventures-on-the-cursed-island"
"97","The Voyages of Marco Polo","マルコポーロの旅路","2015","7.565","3.18","4","Simone Luciani,Daniele Tascini","https://boardgamegeek.com/boardgame/171623/the-voyages-of-marco-polo"
"98","Concordia Venus","コンコルディア　ヴィーナス","2018","7.565","3.02","4","Mac Gerdts","https://boardgamegeek.com/boardgame/256916/concordia-venus"
"99","The Search for Planet X","惑星Xの探索","2020","7.562","2.42","2,3","Matthew O'Malley,Ben Rosset","https://boardgamegeek.com/boardgame/279537/the-search-for-planet-x"
"100","Wingspan Asia","ウイングスパン　東洋の翼","2022","7.554","2.7","2","Elizabeth Hargrave","https://boardgamegeek.com/boardgame/366161/wingspan-asia"
"101","SCOUT","","2019","7.553","1.36","4","Kei Kajino (梶野 桂)","https://boardgamegeek.com/boardgame/291453/scout"
"102","Darwin's Journey","ダーウィンズ　ジャーニー","2023","7.551","3.9","3","Simone Luciani,Nestore Mangone","https://boardgamegeek.com/boardgame/322289/darwins-journey"
"103","Decrypto","デクリプト","2018","7.542","1.82","4,6","Thomas Dagenais-Lespérance","https://boardgamegeek.com/boardgame/225694/decrypto"
"104","Inis","イニシュ","2016","7.539","2.95","4","Christian Martinez","https://boardgamegeek.com/boardgame/155821/inis"
"105","Tainted Grail: The Fall of Avalon","","2019","7.537","3.35","1,2","Krzysztof Piskorski,Marcin Świerkot","https://boardgamegeek.com/boardgame/264220/tainted-grail-the-fall-of-avalon"
"106","Trickerion: Legends of Illusion","","2015","7.537","4.25","4","Richard Amann,Viktor Peter","https://boardgamegeek.com/boardgame/163068/trickerion-legends-of-illusion"
"107","Battlestar Galactica: The Board Game","","2008","7.536","3.25","5","Corey Konieczka","https://boardgamegeek.com/boardgame/37111/battlestar-galactica-the-board-game"
"108","Architects of the West Kingdom","西フランク王国の建築家","2018","7.531","2.76","4","S J Macdonald,Shem Phillips","https://boardgamegeek.com/boardgame/236457/architects-of-the-west-kingdom"
"109","Carnegie","カーネギー","2022","7.529","3.82","4","Xavier Georges","https://boardgamegeek.com/boardgame/310873/carnegie"
"110","Splendor Duel","宝石の煌き：デュエル","2022","7.524","2","2","Marc André,Bruno Cathala","https://boardgamegeek.com/boardgame/364073/splendor-duel"
"111","Final Girl","","2021","7.523","2.72","1","Evan Derrick,A. J. Porfirio","https://boardgamegeek.com/boardgame/277659/final-girl"
